Total Tests,Range Test Size,Number of Segments Test Size,Runtime
9460.0,473.0,20.0,5.10899806022644
1892.0,473.0,4.0,1.190058708190918
1419.0,473.0,3.0,0.4510009288787842
3784.0,473.0,8.0,1.0910000801086426
2184.0,182.0,12.0,1.2670507431030273
2912.0,182.0,16.0,1.4320006370544434
2002.0,182.0,11.0,0.8050632476806641
1274.0,182.0,7.0,0.7720580101013184
1092.0,182.0,6.0,0.6650631427764893
3822.0,182.0,21.0,2.2509818077087402
3094.0,182.0,17.0,1.5939970016479492
3640.0,182.0,20.0,2.0239992141723633
728.0,182.0,4.0,0.24905180931091309
546.0,182.0,3.0,0.3049459457397461
1456.0,182.0,8.0,0.6319985389709473
4728.0,394.0,12.0,1.9870615005493164
6304.0,394.0,16.0,3.2179343700408936
4334.0,394.0,11.0,2.279998302459717
2758.0,394.0,7.0,1.4749987125396729
2364.0,394.0,6.0,1.1909983158111572
8274.0,394.0,21.0,4.073058366775513
6698.0,394.0,17.0,4.173951625823975
7880.0,394.0,20.0,4.225052118301392
1576.0,394.0,4.0,0.9219462871551514
1182.0,394.0,3.0,0.8120534420013428
3152.0,394.0,8.0,1.9199752807617188
9240.0,770.0,12.0,5.375
12320.0,770.0,16.0,5.561999320983887
8470.0,770.0,11.0,4.217060565948486
5390.0,770.0,7.0,1.9900052547454834
4620.0,770.0,6.0,2.341003894805908
16170.0,770.0,21.0,8.820999383926392
13090.0,770.0,17.0,7.2070534229278564
15400.0,770.0,20.0,7.6159987449646
3080.0,770.0,4.0,1.190000295639038
2310.0,770.0,3.0,1.5030131340026855
6160.0,770.0,8.0,3.7389986515045166
4104.0,342.0,12.0,2.9010531902313232
5472.0,342.0,16.0,2.7430479526519775
3762.0,342.0,11.0,2.02599835395813
2394.0,342.0,7.0,1.48099946975708
2052.0,342.0,6.0,0.9079945087432861
7182.0,342.0,21.0,3.244969129562378
5814.0,342.0,17.0,2.5630595684051514
6840.0,342.0,20.0,3.661039352416992
1368.0,342.0,4.0,0.6960511207580566
1026.0,342.0,3.0,0.6710605621337891
2736.0,342.0,8.0,1.7160577774047852
2376.0,198.0,12.0,1.1470043659210205
3168.0,198.0,16.0,1.7059991359710693
2178.0,198.0,11.0,1.2839996814727783
1386.0,198.0,7.0,0.8390395641326904
1188.0,198.0,6.0,0.6039979457855225
4158.0,198.0,21.0,2.3280036449432373
3366.0,198.0,17.0,1.5430002212524414
3960.0,198.0,20.0,1.9240000247955322
792.0,198.0,4.0,0.641005277633667
594.0,198.0,3.0,0.38794803619384766
1584.0,198.0,8.0,0.7160003185272217
10356.0,863.0,12.0,5.774004220962524
13808.0,863.0,16.0,7.673999071121216
9493.0,863.0,11.0,4.508000612258911
6041.0,863.0,7.0,3.2579832077026367
5178.0,863.0,6.0,3.213993549346924
18123.0,863.0,21.0,10.0359468460083
14671.0,863.0,17.0,6.607053279876709
17260.0,863.0,20.0,9.608999490737915
3452.0,863.0,4.0,1.7639977931976318
2589.0,863.0,3.0,1.14105224609375
6904.0,863.0,8.0,4.629999876022339
6108.0,509.0,12.0,3.8119988441467285
8144.0,509.0,16.0,4.296053647994995
5599.0,509.0,11.0,3.285947561264038
3563.0,509.0,7.0,1.9840569496154785
3054.0,509.0,6.0,1.5889980792999268
10689.0,509.0,21.0,5.187000036239624
8653.0,509.0,17.0,3.900006055831909
10180.0,509.0,20.0,5.219054222106934
2036.0,509.0,4.0,0.9270527362823486
1527.0,509.0,3.0,1.068000078201294
4072.0,509.0,8.0,2.5510318279266357
